team_id,season,region,overallSeed,regionSeed
LOUI,2013,MW,1,1
KAN,2013,MW,2,1
IND,2013,MW,3,1
GONZ,2013,MW,4,1
MIAF,2013,MW,5,2
DUKE,2013,MW,6,2
GTWN,2013,MW,7,2
OHST,2013,MW,8,2
UNM,2013,MW,9,3
FLA,2013,MW,10,3
MIST,2013,MW,11,3
MARQ,2013,MW,12,3
MICH,2013,MW,13,4
KSST,2013,MW,14,4
STL,2013,MW,15,4
SYRA,2013,MW,16,4
OKST,2013,MW,17,5
UNLV,2013,MW,18,5
WIS,2013,MW,19,5
VCU,2013,MW,20,5
ARIZ,2013,MW,21,1
BTLR,2013,MW,22,1
MEMP,2013,MW,23,1
UCLA,2013,MW,24,1
CRE,2013,MW,25,1
SDSU,2013,MW,26,1
ND,2013,MW,27,1
ILL,2013,MW,28,1
UNC,2013,MW,29,1
COST,2013,MW,30,1
PITT,2013,MW,31,1
NCST,2013,MW,32,1
MO,2013,MW,33,1
TEM,2013,MW,34,1
WIST,2013,MW,35,1
COLO,2013,MW,36,1
CINC,2013,MW,37,1
VIL,2013,MW,38,1
IAST,2013,MW,39,1
OKLA,2013,MW,40,1
MINN,2013,MW,41,1
CAL,2013,MW,42,1
ORE,2013,MW,43,1
BEL,2013,MW,44,1
BOST,2013,MW,45,1
STMA,2013,MW,46,1
MISS,2013,MW,47,1
BUCK,2013,MW,48,1
LAS,2013,MW,49,1
MTSU,2013,MW,50,1
AKR,2013,MW,51,1
NMSU,2013,MW,52,1
SDST,2013,MW,53,1
MONT,2013,MW,54,1
DAV,2013,MW,55,1
VAL,2013,MW,56,1
NWST,2013,MW,57,1
HARV,2013,MW,58,1
FGCU,2013,MW,59,1
PAC,2013,MW,60,1
IONA,2013,MW,61,1
ALB,2013,MW,62,1
WEKY,2013,MW,63,1
SOU,2013,MW,64,1
LIU,2013,MW,65,1
JAM,2013,MW,66,1
NCAT,2013,MW,67,1
LU,2013,MW,68,1
