"team_id","season","region","overallSeed","regionSeed"
"FLA",2014,"MW",1,1
"ARIZ",2014,"S",2,1
"WIST",2014,"E",3,1
"UVA",2014,"W",4,1
"VIL",2014,"E",5,2
"MICH",2014,"MW",6,2
"KAN",2014,"S",7,2
"WIS",2014,"W",8,2
"DUKE",2014,"W",9,3
"SYRA",2014,"S",10,3
"CRE",2014,"MW",11,3
"IAST",2014,"E",12,3
"LOUI",2014,"S",13,4
"MIST",2014,"W",14,4
"UCLA",2014,"MW",15,4
"SDST",2014,"E",16,4
"CINC",2014,"MW",17,5
"STL",2014,"E",18,5
"VCU",2014,"W",19,5
"OKLA",2014,"S",20,5
"UNC",2014,"W",21,6
"OHST",2014,"E",22,6
"MASS",2014,"MW",23,6
"BAY",2014,"S",24,6
"TEX",2014,"MW",25,7
"CONN",2014,"S",26,7
"ORE",2014,"W",27,7
"UNM",2014,"E",28,7
"UK",2014,"S",29,8
"GONZ",2014,"MW",30,8
"MEMP",2014,"W",31,8
"COLO",2014,"E",32,8
"KSST",2014,"MW",33,9
"GW",2014,"E",34,9
"OKST",2014,"W",35,9
"PITT",2014,"E",36,10
"STAN",2014,"MW",37,10
"STJO",2014,"S",38,9
"BYU",2014,"W",39,10
"AZST",2014,"S",40,10
"DAE",2014,"S",41,11
"NEB",2014,"E",42,12
"PROV",2014,"MW",43,11
"TENN",2014,"W",44,11
"IOWA",2014,"W",45,13
"XAV",2014,"MW",46,12
"NCST",2014,"W",47,12
"NDST",2014,"E",48,11
"HARV",2014,"W",49,13
"STFA",2014,"MW",50,13
"MAN",2014,"S",51,12
"TULS",2014,"MW",52,13
"NMSU",2014,"S",53,13
"DELA",2014,"E",54,13
"WMU",2014,"E",55,14
"MERC",2014,"MW",56,14
"LALA",2014,"S",57,14
"NCC",2014,"W",58,14
"EKU",2014,"S",59,15
"MIL",2014,"E",60,15
"WOF",2014,"W",61,15
"AMER",2014,"MW",62,16
"COAS",2014,"S",63,16
"WEST",2014,"W",64,16
"MSM",2014,"MW",65,1
"ALB",2014,"E",66,16
"TXSO",2014,"E",67,16
"CALP",2014,"MW",68,16
